code,year,gender,e0
GBRCENW,1915,total,51.54
GBRCENW,1916,total,53.87
GBRCENW,1917,total,53.73
GBRCENW,1918,total,46.65
GBRCENW,1919,total,53.82
GBRCENW,1920,total,56.39
GBRCENW,1921,total,58.21
GBRCENW,1922,total,57.59
GBRCENW,1923,total,59.69
GBRCENW,1924,total,58.7
GBRCENW,1925,total,58.85
GBRCENW,1926,total,60.03
GBRCENW,1927,total,59.32
GBRCENW,1928,total,60.44
GBRCENW,1929,total,57.94
GBRCENW,1930,total,61.29
GBRCENW,1931,total,60.34
GBRCENW,1932,total,61.02
GBRCENW,1933,total,60.97
GBRCENW,1934,total,61.74
GBRCENW,1935,total,62.51
GBRCENW,1936,total,62.28
GBRCENW,1937,total,62.33
GBRCENW,1938,total,63.72
GBRCENW,1939,total,64.04
GBRCENW,1940,total,61.33
GBRCENW,1941,total,61.94
GBRCENW,1942,total,64.61
GBRCENW,1943,total,64.66
GBRCENW,1944,total,65.35
GBRCENW,1945,total,66.2
GBRCENW,1946,total,66.74
GBRCENW,1947,total,66.88
GBRCENW,1948,total,68.8
GBRCENW,1949,total,68.46
GBRCENW,1950,total,68.98
GBRCENW,1951,total,68.54
GBRCENW,1952,total,69.83
GBRCENW,1953,total,70.04
GBRCENW,1954,total,70.46
GBRCENW,1955,total,70.39
GBRCENW,1956,total,70.63
GBRCENW,1957,total,70.77
GBRCENW,1958,total,70.94
GBRCENW,1959,total,71.09
GBRCENW,1960,total,71.27
GBRCENW,1961,total,71.01
GBRCENW,1962,total,71.06
GBRCENW,1963,total,70.99
GBRCENW,1964,total,71.76
GBRCENW,1965,total,71.74
GBRCENW,1966,total,71.66
GBRCENW,1967,total,72.25
GBRCENW,1968,total,71.88
GBRCENW,1969,total,71.86
GBRCENW,1970,total,72.09
GBRCENW,1971,total,72.42
GBRCENW,1972,total,72.19
GBRCENW,1973,total,72.42
GBRCENW,1974,total,72.62
GBRCENW,1975,total,72.86
GBRCENW,1976,total,72.85
GBRCENW,1977,total,73.33
GBRCENW,1978,total,73.26
GBRCENW,1979,total,73.38
GBRCENW,1980,total,73.8
GBRCENW,1981,total,74.13
GBRCENW,1982,total,74.26
GBRCENW,1983,total,74.49
GBRCENW,1984,total,74.89
GBRCENW,1985,total,74.72
GBRCENW,1986,total,74.99
GBRCENW,1987,total,75.33
GBRCENW,1988,total,75.46
GBRCENW,1989,total,75.62
GBRCENW,1990,total,75.93
GBRCENW,1991,total,76.09
GBRCENW,1992,total,76.5
GBRCENW,1993,total,76.38
GBRCENW,1994,total,76.92
GBRCENW,1995,total,76.81
GBRCENW,1996,total,77.08
GBRCENW,1997,total,77.33
GBRCENW,1998,total,77.47
GBRCENW,1999,total,77.59
GBRCENW,2000,total,78.06
GBRCENW,2001,total,78.34
GBRCENW,2002,total,78.47
GBRCENW,2003,total,78.54
GBRCENW,2004,total,79.13
GBRCENW,2005,total,79.34
GBRCENW,2006,total,79.59
GBRCENW,2007,total,79.79
GBRCENW,2008,total,79.9
GBRCENW,2009,total,80.39
GBRCENW,2010,total,80.63
GBRCENW,2011,total,81.03
GBRCENW,2012,total,81.09
GBRCENW,2013,total,81.13
GBRCENW,2014,total,81.36
GBRCENW,2015,total,81.12
GBRCENW,2016,total,81.25
GBRTENW,1841,total,41.62
GBRTENW,1842,total,41.3
GBRTENW,1843,total,41.81
